Source,Target,Type,Weight
consanguinitas,insuper,Undirected,1
consanguinitas,littera,Undirected,1
consanguinitas,rubrus,Undirected,1
consanguinitas,color,Undirected,1
consanguinitas,imprimo,Undirected,1
consanguinitas,invenio,Undirected,1
affinitas,penitentialis,Undirected,1
affinitas,canon,Undirected,1
affinitas,addo,Undirected,1
affinitas,adicio,Undirected,1
affinitas,insuper,Undirected,1
affinitas,littera,Undirected,1
affinitas,rubrus,Undirected,1
affinitas,color,Undirected,1
affinitas,imprimo,Undirected,1
affinitas,invenio,Undirected,1
affinitas,alius2,Undirected,1
penitentialis,canon,Undirected,1
penitentialis,addo,Undirected,1
penitentialis,adicio,Undirected,1
penitentialis,insuper,Undirected,1
penitentialis,littera,Undirected,1
penitentialis,rubrus,Undirected,1
penitentialis,color,Undirected,1
penitentialis,imprimo,Undirected,1
penitentialis,invenio,Undirected,1
penitentialis,alius2,Undirected,1
penitentialis,textus,Undirected,1
canon,addo,Undirected,1
canon,adicio,Undirected,1
canon,insuper,Undirected,1
canon,littera,Undirected,1
canon,rubrus,Undirected,1
canon,color,Undirected,1
canon,imprimo,Undirected,1
canon,invenio,Undirected,1
canon,alius2,Undirected,1
canon,textus,Undirected,1
canon,insero2,Undirected,1
addo,adicio,Undirected,1
addo,insuper,Undirected,1
addo,littera,Undirected,1
addo,rubrus,Undirected,1
addo,color,Undirected,1
addo,imprimo,Undirected,1
addo,invenio,Undirected,1
addo,alius2,Undirected,1
addo,textus,Undirected,1
addo,insero2,Undirected,1
addo,lector,Undirected,1
adicio,insuper,Undirected,1
adicio,littera,Undirected,1
adicio,rubrus,Undirected,1
adicio,color,Undirected,1
adicio,imprimo,Undirected,1
adicio,invenio,Undirected,1
adicio,alius2,Undirected,1
adicio,textus,Undirected,1
adicio,insero2,Undirected,1
adicio,lector,Undirected,1
adicio,dirigo,Undirected,1
insuper,littera,Undirected,1
insuper,rubrus,Undirected,1
insuper,color,Undirected,1
insuper,imprimo,Undirected,1
insuper,invenio,Undirected,1
insuper,alius2,Undirected,1
insuper,textus,Undirected,1
insuper,insero2,Undirected,1
insuper,lector,Undirected,1
insuper,dirigo,Undirected,1
littera,rubrus,Undirected,1
littera,color,Undirected,1
littera,imprimo,Undirected,1
littera,invenio,Undirected,1
littera,alius2,Undirected,1
littera,textus,Undirected,1
littera,insero2,Undirected,1
littera,lector,Undirected,1
littera,dirigo,Undirected,1
rubrus,color,Undirected,1
rubrus,imprimo,Undirected,1
rubrus,invenio,Undirected,1
rubrus,alius2,Undirected,1
rubrus,textus,Undirected,1
rubrus,insero2,Undirected,1
rubrus,lector,Undirected,1
rubrus,dirigo,Undirected,1
color,imprimo,Undirected,1
color,invenio,Undirected,1
color,alius2,Undirected,1
color,textus,Undirected,1
color,insero2,Undirected,1
color,lector,Undirected,1
color,dirigo,Undirected,1
imprimo,invenio,Undirected,1
imprimo,alius2,Undirected,1
imprimo,textus,Undirected,1
imprimo,insero2,Undirected,1
imprimo,lector,Undirected,1
imprimo,dirigo,Undirected,1
invenio,alius2,Undirected,1
invenio,textus,Undirected,1
invenio,insero2,Undirected,1
invenio,lector,Undirected,1
invenio,dirigo,Undirected,1
alius2,textus,Undirected,1
alius2,insero2,Undirected,1
alius2,lector,Undirected,1
alius2,dirigo,Undirected,1
textus,insero2,Undirected,1
textus,lector,Undirected,1
textus,dirigo,Undirected,1
insero2,lector,Undirected,1
insero2,dirigo,Undirected,1
lector,dirigo,Undirected,1
pandectes,digestum,Undirected,2
pandectes,jus,Undirected,1
pandectes,civilis1,Undirected,1
pandectes,justinianus,Undirected,1
pandectes,tomus,Undirected,1
pandectes,primus,Undirected,1
pandectes,vulgo2,Undirected,1
pandectes,vetus,Undirected,1
pandectes,appello,Undirected,1
pandectes,egidio,Undirected,1
digestum,jus,Undirected,1
digestum,civilis1,Undirected,1
digestum,justinianus,Undirected,1
digestum,tomus,Undirected,1
digestum,primus,Undirected,1
digestum,vulgo2,Undirected,1
digestum,digestum,Undirected,1
digestum,vetus,Undirected,2
digestum,appello,Undirected,2
digestum,egidio,Undirected,2
digestum,perrino,Undirected,2
jus,justinianus,Undirected,1
jus,tomus,Undirected,1
jus,primus,Undirected,1
