Expositio Patrum Graecorum in Psalmos 1,6,expositio pater graecus psalmus,4
Annales Romanorum,2,annalis roma,2
Epistolae Quotquot Reperiri Potuerunt,4,epistula reperio,2
Miscellanea Eruditae Antiquitatis,3,miscellaneum erudio antiquitas,3
Marmora Oxoniensia,2,marmoro oxoniensis,2
De Vitis Philosophorum,3,vita philosophus,2
Opera Omnia,2,opus1 omne,2
Subseciuorum Pecuniae Veteris Graecae et Romanae,6,subseciuorum pecunia vetus graecus roma,5
Antiquitates Romanorum,2,antiquitas roma,2
Catalogus Bibliothecae Publicae Lugduno-Batavae,4,catalogus bibliotheca publicus lugdunensis batauia,5
Opera Cornelii a Lapide,4,opus1 cornelius lapis,3
Annales Ecclesiastici,2,annalis ecclesiastes,2
Annales Ecclesiastici: Continuatio 1198-1534,4,annalis ecclesiastes continuatio,3
Opera Omnia,2,opus1 omne,2
Locorum Theologicorum,2,locus theologia,2
Senatus Populique Genuensis Historiae atque Annales,6,senatus populus1 genuensis historia annalis,5
Saxoniae Illustratae,2,saxonia illustratio,2
Bibliotheca: Theatrum Concionum,3,bibliotheca theatrum concio,3
